username,gender,label,prediction
catrocketship,NB,NOT F,F
BeverlyYanuaria,F,F,F
isaacangelz,NB,NOT F,NOT F
RHicks,F,F,F
JamilaMHammami,NB,NOT F,F
NadkarniNamrata,F,F,F
tiffanymjewell,F,F,NOT F
paymentsexpert,M,NOT F,NOT F
suffolkvicar,M,NOT F,NOT F
AddieDomske,F,F,NOT F
fairytopialex,NB,NOT F,NOT F
JasonCMarvin,M,NOT F,NOT F
CurtisCChen,M,NOT F,NOT F
smolnswole,NB,NOT F,NOT F
Archainis,M,NOT F,NOT F
leilazadeh,F,F,NOT F
TheVersian,NB,NOT F,NOT F
shengxiaoyu,F,F,F
pastordj,M,NOT F,NOT F
AKapilashrami,F,F,F
RaymondForbes,M,NOT F,NOT F
TheMudlily,F,F,F
ogflavorsstan,NB,NOT F,NOT F
Aliwaba,F,F,NOT F
thegaythey,NB,NOT F,NOT F
VioletFireBee,NB,NOT F,F
newsmansimon,M,NOT F,NOT F
dalehirt,M,NOT F,NOT F
momdragana,M,NOT F,NOT F
oakandfur,M,NOT F,NOT F
BeckyAnnison,F,F,NOT F
zannalyons,F,F,F
cpa12k,NB,NOT F,NOT F
mawillcockson,NB,NOT F,NOT F
_Auntie_Aimee,F,F,F
jamsternazzy,NB,NOT F,NOT F
_Auntie_Aimee,F,F,NOT F
hawklord2112,M,NOT F,NOT F
joelcadams,M,NOT F,F
RiaOtero,F,F,NOT F
gauravsabnis,M,NOT F,F
MC_of_A,M,NOT F,NOT F
graciedactyl,F,F,F
CherylRainfield,F,F,NOT F
magdajoyce,F,F,F
becky__wong,F,F,F
cwalterswrite,M,NOT F,NOT F
leilazadeh,F,F,NOT F
robiliciousnz,M,NOT F,NOT F
transzoeperry,F,F,F
ForWyo,F,F,NOT F
rob_kabobb,M,NOT F,F
AlfredLewislll,M,NOT F,NOT F
shesthefirst,F,F,F
erinkburrell,F,F,NOT F
juliannebrands,F,F,NOT F
coreyevanmusic,M,NOT F,NOT F
CHeartsTrees,F,F,NOT F
StringBassMotiv,M,NOT F,NOT F
momdragana,M,NOT F,NOT F
itswalela,NB,NOT F,NOT F
marteki,F,F,F
HESherman,M,NOT F,NOT F
TisforTMI,F,F,NOT F
theshenners,NB,NOT F,NOT F
magdajoyce,F,F,F
axhawk,M,NOT F,NOT F
OhHeyDJ,M,NOT F,NOT F
rlorenxo,NB,NOT F,NOT F
Khoshtistic,M,NOT F,NOT F
StephenGKrueger,NB,NOT F,NOT F
SpenserStarke,M,NOT F,F
kevinspenst,M,NOT F,F
jamestallosi,M,NOT F,NOT F
gwtrev,M,NOT F,NOT F
gauravsabnis,M,NOT F,NOT F
neonmoonmilk,NB,NOT F,NOT F
JCKronin,NB,NOT F,NOT F
TheAtomicMommy,F,F,F
tiffanymjewell,F,F,F
jonnysun,M,NOT F,NOT F
AndiDealsPoker,F,F,F
skpodila,F,F,F
sjw_LauraKinney,NB,NOT F,NOT F
efboltz,F,F,NOT F
Shedrawsnigh,F,F,NOT F
jonrosenberg,M,NOT F,NOT F
sunildasgupta4,M,NOT F,NOT F
ogflavorsstan,NB,NOT F,NOT F
TrackerJessica,F,F,F
blanketperson,M,NOT F,F
KotaLee11,NB,NOT F,NOT F
BeckyAnnison,F,F,NOT F
NifMuhammad,M,NOT F,NOT F
momdragana,M,NOT F,NOT F
kvetchingguru,M,NOT F,NOT F
SweetVanLoan,F,F,F
obeykaedra,NB,NOT F,NOT F
iGregoryJohnson,M,NOT F,NOT F
victoriagrows,NB,NOT F,NOT F
smolnswole,NB,NOT F,NOT F
suffolkvicar,M,NOT F,NOT F
Dr_Ronx,NB,NOT F,NOT F
paymentsexpert,M,NOT F,NOT F
JAMEE_NICOLEE,NB,NOT F,NOT F
ryanlpainter,M,NOT F,NOT F
juniperinlatin,NB,NOT F,NOT F
iGregoryJohnson,M,NOT F,NOT F
cluelessthembo,NB,NOT F,NOT F
KevinYa13099403,M,NOT F,NOT F
MrChambersMS,M,NOT F,F
slayerscommathe,NB,NOT F,F
kiran_oliver,NB,NOT F,NOT F
fleshloathe,NB,NOT F,NOT F
Whilhorst,M,NOT F,NOT F
suffolkvicar,M,NOT F,NOT F
TheVersian,NB,NOT F,NOT F
the_jasper_jane,NB,NOT F,NOT F
PossumOtroy,NB,NOT F,NOT F
namesescapeme,F,F,NOT F
bybencarrier,M,NOT F,NOT F
goth_theyfriend,NB,NOT F,NOT F
dadiva18,F,F,NOT F
WritNelson,M,NOT F,NOT F
PNambyar,NB,NOT F,NOT F
gpshead,M,NOT F,NOT F
abbsnocon,F,F,F
centralscot,M,NOT F,NOT F
TwitchWasHere,NB,NOT F,NOT F
JessiHonard,F,F,F
joelcadams,M,NOT F,F
jonnysun,M,NOT F,NOT F
TheTattooedProf,M,NOT F,NOT F
darcy,M,NOT F,F
skpodila,F,F,F
ScritchfieldRD,F,F,F
Booker4KY,M,NOT F,NOT F
IanCrookshank,M,NOT F,F
BeckyAnnison,F,F,F
IncredibleHulko,F,F,F
TheOneTAR,NB,NOT F,NOT F
RachEttinger,F,F,F
dm56892,NB,NOT F,NOT F
lilamayhiggins,F,F,F
chic0junit,M,NOT F,NOT F
chic0junit,M,NOT F,NOT F
jetharrington,F,F,NOT F
JasonCMarvin,M,NOT F,NOT F
PaulKawika,M,NOT F,NOT F
chic0junit,M,NOT F,NOT F
nevadawolfe,M,NOT F,NOT F
JamilaMHammami,NB,NOT F,F
LanceBass,M,NOT F,NOT F
kat_cahill,F,F,F
JasonCMarvin,M,NOT F,F
gordonjdruby,M,NOT F,NOT F
ladiesbewild,F,F,NOT F
dogbitebaby,NB,NOT F,NOT F
shamarbeverly,M,NOT F,NOT F
KateEMontgomery,F,F,NOT F
Der_Pesse,M,NOT F,F
geexella,NB,NOT F,NOT F
estebanuribe,M,NOT F,NOT F
cluelessthembo,NB,NOT F,NOT F
abbsnocon,F,F,NOT F
Tsikbalichmaya,M,NOT F,F
2014ORTOY,M,NOT F,NOT F
tstockstein,F,F,F
HerArtSheLoves,F,F,NOT F
HESherman,M,NOT F,F
PVeritySuarez,F,F,F
AshleyThaoDam,NB,NOT F,NOT F
HESherman,M,NOT F,NOT F
clubnobbie,M,NOT F,NOT F
JVTrev,NB,NOT F,NOT F
juniperinlatin,NB,NOT F,NOT F
_mpoe,NB,NOT F,NOT F
annaecook,F,F,NOT F
wyrdgaest,M,NOT F,NOT F
Dorktagnan,NB,NOT F,NOT F
briantschu,M,NOT F,F
desikitteh,NB,NOT F,NOT F
paymentsexpert,M,NOT F,F
TheObeeReardon,F,F,F
JamilaMHammami,NB,NOT F,F
RachEttinger,F,F,F
gojirama,F,F,NOT F
nextpivotpoint,F,F,F
TheyThemTheEli,NB,NOT F,NOT F
Carla_TTBA,F,F,F
pastriesandcake,F,F,F
sjw_LauraKinney,NB,NOT F,NOT F
brenda_slomka,F,F,F
TerriMLeBlanc,F,F,F
shmuel,M,NOT F,NOT F
__livvv_,F,F,NOT F
MartinezforMD,M,NOT F,NOT F
docpalindrome,M,NOT F,NOT F
peachmakkoli,NB,NOT F,NOT F
JessiHonard,F,F,NOT F
PonderEducation,M,NOT F,NOT F
_Auntie_Aimee,F,F,F
thzinc,M,NOT F,NOT F
BilldeBlasio,M,NOT F,NOT F
becky__wong,F,F,NOT F
pancake_bitch,NB,NOT F,NOT F
prickly_boi,NB,NOT F,NOT F
DuaneAnders,M,NOT F,NOT F
gsnedders,NB,NOT F,NOT F
magdajoyce,F,F,F
jensinkler,F,F,NOT F
TeamSallySez,F,F,NOT F
calvincamps,NB,NOT F,NOT F
amberlynprince,F,F,F
SignifiedAutre,NB,NOT F,NOT F
zephariouself,NB,NOT F,NOT F
AN_Goldstein,F,F,NOT F
niamhnichuilinn,F,F,NOT F
TallTechy,F,F,F
LeslieJoy1,F,F,F
leahtova,NB,NOT F,NOT F
namesescapeme,F,F,F
BroussardRhonda,F,F,F
legalizegoblins,NB,NOT F,NOT F
smarmyliberal,F,F,NOT F
lilamayhiggins,F,F,F
zachhynes,M,NOT F,NOT F
MWSchollenberg,M,NOT F,NOT F
nagnagnag,M,NOT F,NOT F
amberlynprince,F,F,F
thelizzypearl,F,F,F
denn_daddy,M,NOT F,NOT F
gordonjdruby,M,NOT F,NOT F
cyanbloomm,NB,NOT F,NOT F
trobedsbitch,M,NOT F,NOT F
cpa12k,NB,NOT F,NOT F
gordonjdruby,M,NOT F,NOT F
BlakeleyJenn,F,F,F
goldman,M,NOT F,NOT F
StacyRex,NB,NOT F,NOT F
Anne_Kanopi,F,F,F
BigggRusss,M,NOT F,F
austen_writes_,NB,NOT F,NOT F
RukhsanaSyed,F,F,F
wilko_lauren,NB,NOT F,F
cyanbloomm,NB,NOT F,NOT F
joy_hoffman,F,F,F
OhHeyDJ,M,NOT F,NOT F
RobKendt,M,NOT F,NOT F
Rebecca__Rouse,F,F,F
JeremyCShipp,NB,NOT F,NOT F
KrisEmilyMD,F,F,F
AGirlOfHerWords,F,F,NOT F
traviszinnel,M,NOT F,F
DomDiFurio,M,NOT F,NOT F
lbdehertogh,F,F,NOT F
pastordj,M,NOT F,NOT F
MWSchollenberg,M,NOT F,NOT F
StacyRex,NB,NOT F,NOT F
dudleypj,M,NOT F,NOT F
AndiDealsPoker,F,F,F
SpenserStarke,M,NOT F,NOT F
riymix,M,NOT F,NOT F
jhinthony,M,NOT F,NOT F
DanceforMyself,NB,NOT F,F
JeremyCShipp,NB,NOT F,NOT F
Dr_Ronx,NB,NOT F,NOT F
darkskintrudeau,NB,NOT F,NOT F
SweetVanLoan,F,F,NOT F
MillennialXpert,F,F,F
PNambyar,NB,NOT F,NOT F
AJbigbadWolff,F,F,NOT F
juniperinlatin,NB,NOT F,NOT F
TrackerJessica,F,F,F
AtomicFirebird,NB,NOT F,NOT F
jetharrington,F,F,NOT F
KrisEmilyMD,F,F,NOT F
austen_writes_,NB,NOT F,NOT F
fdmts,M,NOT F,F
allyrosecoll,F,F,F
dlabeach,M,NOT F,NOT F
showardtweets,F,F,F
wilko_lauren,NB,NOT F,F
robertemilem,M,NOT F,NOT F
scotryder,M,NOT F,NOT F
JamieSuchomel,F,F,F
chordaetendinae,NB,NOT F,NOT F
JaimeLidgard,NB,NOT F,NOT F
dudleypj,M,NOT F,NOT F
DanitheEngineer,F,F,F
ryanlpainter,M,NOT F,F
joy_hoffman,F,F,F
shmuel,M,NOT F,F
zachhynes,M,NOT F,F
gsnedders,NB,NOT F,NOT F
jmugele,M,NOT F,NOT F
crewmanalex,NB,NOT F,NOT F
crewmanalex,NB,NOT F,NOT F
carr_8,F,F,F
zannalyons,F,F,F
msmegmassey,F,F,F
Ravelyn,F,F,F
Casually_Jay,M,NOT F,NOT F
wyrdgaest,M,NOT F,F
slayerscommathe,NB,NOT F,NOT F
denn_daddy,M,NOT F,NOT F
ShaughnessyEmmy,F,F,F
_MistyGraves_,NB,NOT F,NOT F
sr_brownwriter,NB,NOT F,NOT F
_GreyWhite,NB,NOT F,NOT F
QuirkyQwerssie,NB,NOT F,NOT F
joelcadams,M,NOT F,F
dogbitebaby,NB,NOT F,NOT F
robiliciousnz,M,NOT F,NOT F
leah_kelley,F,F,F
TwitchWasHere,NB,NOT F,NOT F
AtomicFirebird,NB,NOT F,NOT F
AngSuperPowers,F,F,F
TrackerJessica,F,F,F
carriefox,F,F,F
clubnobbie,M,NOT F,NOT F
kurtistowne,NB,NOT F,NOT F
_awwsmm,M,NOT F,NOT F
poemsboutpoetry,M,NOT F,NOT F
werekoyote,NB,NOT F,NOT F
OhHeyDJ,M,NOT F,NOT F
jamestallosi,M,NOT F,NOT F
kevinlwei,NB,NOT F,NOT F
transzoeperry,F,F,F
mischief_nerd,NB,NOT F,NOT F
allisonelliots,NB,NOT F,NOT F
burst0fhope,NB,NOT F,NOT F
almost5feet,F,F,NOT F
RLynneHarris,F,F,F
RobKendt,M,NOT F,NOT F
Mr_He_Me_Him,M,NOT F,NOT F
gayspacepilot,NB,NOT F,NOT F
nicycle,F,F,NOT F
CHeartsTrees,F,F,F
coreyevanmusic,M,NOT F,NOT F
kat_cahill,F,F,F
luxxe_ember,NB,NOT F,NOT F
wilko_lauren,NB,NOT F,F
DeannaDanger,NB,NOT F,NOT F
RTWeirdZ,M,NOT F,NOT F
goldenthem,NB,NOT F,NOT F
annaecook,F,F,NOT F
MrChambersMS,M,NOT F,NOT F
Harrysgd,F,F,F
poemsboutpoetry,M,NOT F,NOT F
brenda_slomka,F,F,F
mr_shiny,M,NOT F,NOT F
Calcifer_S,NB,NOT F,NOT F
LeslieJoy1,F,F,F
dadiva18,F,F,F
trobedsbitch,M,NOT F,NOT F
traviszinnel,M,NOT F,F
luxxe_ember,NB,NOT F,NOT F
AlyssaGins,F,F,F
TimLumpkins,M,NOT F,NOT F
BigggRusss,M,NOT F,NOT F
ryanlpainter,M,NOT F,NOT F
itswalela,NB,NOT F,NOT F
WritNelson,M,NOT F,NOT F
zannalyons,F,F,F
fdmts,M,NOT F,NOT F
RobKendt,M,NOT F,NOT F
TeamSallySez,F,F,F
asg__creations,NB,NOT F,NOT F
momdragana,M,NOT F,NOT F
thelizzypearl,F,F,F
gauravsabnis,M,NOT F,NOT F
jessicaeburke,F,F,NOT F
AKapilashrami,F,F,F
They_Goblin,NB,NOT F,NOT F
sekisetsu,NB,NOT F,NOT F
magdajoyce,F,F,NOT F
_MistyGraves_,NB,NOT F,NOT F
TerriMLeBlanc,F,F,NOT F
startupjedi,M,NOT F,NOT F
sekisetsu,NB,NOT F,NOT F
juliannebrands,F,F,F
wyrdgaest,M,NOT F,NOT F
Rebecca__Rouse,F,F,NOT F
BilldeBlasio,M,NOT F,NOT F
SheWasHer,F,F,F
everestpipkin,NB,NOT F,NOT F
RachEttinger,F,F,NOT F
llimcole,F,F,F
Dorktagnan,NB,NOT F,NOT F
PNambyar,NB,NOT F,NOT F
