username,gender,prediction
HerArtSheLoves,F,F
HESherman,M,F
PVeritySuarez,F,NB
AshleyThaoDam,NB,F
HESherman,M,M
clubnobbie,M,M
JVTrev,NB,M
juniperinlatin,NB,F
_mpoe,NB,F
annaecook,F,NB
wyrdgaest,M,M
Dorktagnan,NB,F
briantschu,M,F
desikitteh,NB,M
paymentsexpert,M,F
TheObeeReardon,F,F
JamilaMHammami,NB,M
RachEttinger,F,NB
gojirama,F,F
nextpivotpoint,F,M
TheyThemTheEli,NB,NB
Carla_TTBA,F,F
pastriesandcake,F,M
sjw_LauraKinney,NB,M
brenda_slomka,F,NB
TerriMLeBlanc,F,F
shmuel,M,M
__livvv_,F,NB
MartinezforMD,M,M
docpalindrome,M,NB
peachmakkoli,NB,F
JessiHonard,F,M
PonderEducation,M,M
_Auntie_Aimee,F,F
thzinc,M,M
BilldeBlasio,M,M
becky__wong,F,F
pancake_bitch,NB,M
prickly_boi,NB,NB
DuaneAnders,M,F
gsnedders,NB,F
magdajoyce,F,F
jensinkler,F,M
TeamSallySez,F,F
calvincamps,NB,M
amberlynprince,F,M
SignifiedAutre,NB,NB
zephariouself,NB,M
AN_Goldstein,F,F
niamhnichuilinn,F,F
TallTechy,F,F
LeslieJoy1,F,F
leahtova,NB,F
namesescapeme,F,M
BroussardRhonda,F,F
legalizegoblins,NB,F
smarmyliberal,F,F
lilamayhiggins,F,M
zachhynes,M,M
MWSchollenberg,M,F
nagnagnag,M,M
amberlynprince,F,M
thelizzypearl,F,F
denn_daddy,M,M
gordonjdruby,M,M
cyanbloomm,NB,M
trobedsbitch,M,M
cpa12k,NB,M
gordonjdruby,M,M
BlakeleyJenn,F,M
goldman,M,F
StacyRex,NB,F
Anne_Kanopi,F,F
BigggRusss,M,F
austen_writes_,NB,F
RukhsanaSyed,F,F
wilko_lauren,NB,M
cyanbloomm,NB,NB
joy_hoffman,F,M
OhHeyDJ,M,M
RobKendt,M,F
Rebecca__Rouse,F,M
JeremyCShipp,NB,F
KrisEmilyMD,F,F
AGirlOfHerWords,F,F
traviszinnel,M,F
DomDiFurio,M,F
lbdehertogh,F,M
pastordj,M,M
MWSchollenberg,M,F
StacyRex,NB,F
dudleypj,M,M
AndiDealsPoker,F,F
SpenserStarke,M,F
riymix,M,M
jhinthony,M,NB
DanceforMyself,NB,F
JeremyCShipp,NB,M
Dr_Ronx,NB,M
darkskintrudeau,NB,NB
SweetVanLoan,F,M
MillennialXpert,F,F
PNambyar,NB,F
AJbigbadWolff,F,M
juniperinlatin,NB,F
TrackerJessica,F,F
AtomicFirebird,NB,F
jetharrington,F,M
KrisEmilyMD,F,F
austen_writes_,NB,F
fdmts,M,NB
allyrosecoll,F,F
dlabeach,M,M
showardtweets,F,M
wilko_lauren,NB,M
robertemilem,M,M
scotryder,M,M
JamieSuchomel,F,F
chordaetendinae,NB,M
JaimeLidgard,NB,NB
dudleypj,M,M
DanitheEngineer,F,F
ryanlpainter,M,M
joy_hoffman,F,F
shmuel,M,M
zachhynes,M,F
gsnedders,NB,M
jmugele,M,F
crewmanalex,NB,M
crewmanalex,NB,M
carr_8,F,F
zannalyons,F,M
msmegmassey,F,M
Ravelyn,F,F
Casually_Jay,M,NB
wyrdgaest,M,F
slayerscommathe,NB,NB
denn_daddy,M,M
ShaughnessyEmmy,F,F
_MistyGraves_,NB,NB
sr_brownwriter,NB,F
_GreyWhite,NB,M
QuirkyQwerssie,NB,F
joelcadams,M,M
dogbitebaby,NB,M
robiliciousnz,M,F
leah_kelley,F,F
TwitchWasHere,NB,F
AtomicFirebird,NB,F
AngSuperPowers,F,M
TrackerJessica,F,F
carriefox,F,F
clubnobbie,M,M
kurtistowne,NB,F
_awwsmm,M,F
poemsboutpoetry,M,F
werekoyote,NB,F
OhHeyDJ,M,F
jamestallosi,M,M
kevinlwei,NB,F
transzoeperry,F,F
mischief_nerd,NB,F
allisonelliots,NB,F
burst0fhope,NB,F
almost5feet,F,F
RLynneHarris,F,F
RobKendt,M,F
Mr_He_Me_Him,M,M
gayspacepilot,NB,NB
nicycle,F,F
CHeartsTrees,F,F
coreyevanmusic,M,F
kat_cahill,F,F
luxxe_ember,NB,NB
wilko_lauren,NB,M
DeannaDanger,NB,M
RTWeirdZ,M,M
goldenthem,NB,NB
annaecook,F,F
MrChambersMS,M,F
Harrysgd,F,M
poemsboutpoetry,M,F
brenda_slomka,F,M
mr_shiny,M,F
Calcifer_S,NB,NB
LeslieJoy1,F,F
dadiva18,F,F
trobedsbitch,M,NB
traviszinnel,M,F
luxxe_ember,NB,F
AlyssaGins,F,F
TimLumpkins,M,M
BigggRusss,M,F
ryanlpainter,M,F
itswalela,NB,F
WritNelson,M,M
zannalyons,F,F
fdmts,M,F
RobKendt,M,F
TeamSallySez,F,F
asg__creations,NB,M
momdragana,M,NB
thelizzypearl,F,F
gauravsabnis,M,F
jessicaeburke,F,M
AKapilashrami,F,M
They_Goblin,NB,M
sekisetsu,NB,NB
magdajoyce,F,F
_MistyGraves_,NB,F
TerriMLeBlanc,F,F
startupjedi,M,F
sekisetsu,NB,M
juliannebrands,F,F
wyrdgaest,M,NB
Rebecca__Rouse,F,F
BilldeBlasio,M,F
SheWasHer,F,F
everestpipkin,NB,M
RachEttinger,F,F
llimcole,F,F
Dorktagnan,NB,F
PNambyar,NB,F
MrJoeJenkins,M,F
sorenwork,NB,M
cpa12k,NB,M
theshenners,NB,F
ShannonNara,F,F
gemmacaf,F,M
cybershaz,F,F
meghancaves,F,M
immacuIatechaos,NB,NB
milokp,NB,F
gsnedders,NB,F
TheWallner,F,F
Shedrawsnigh,F,M
robiliciousnz,M,F
zachhynes,M,F
Jen_Ingham,F,M
smolnswole,NB,M
okiewhaler,M,M
AngSuperPowers,F,F
Archainis,M,M
devicenull,M,F
IanCrookshank,M,F
tiffanymjewell,F,F
jonosapien,M,M
showardtweets,F,F
sorenwork,NB,M
TheVersian,NB,M
Khoshtistic,M,F
DanceforMyself,NB,F
AlfredLewislll,M,NB
jguard_24,M,M
theredseraph,M,F
estebanuribe,M,F
brittnhasty,F,M
scotryder,M,M
alightningrod,NB,F
TallTechy,F,NB
mertotter,M,F
DN_Bryn,NB,M
allisonelliots,NB,F
rlorenxo,NB,M
EviKline,F,NB
TheRevMDM,M,M
enemyoftrust,NB,NB
DanceforMyself,NB,F
KateLechler,F,F
TheRevMDM,M,M
RHicks,F,M
debdef,F,F
TisforTMI,F,NB
Harrysgd,F,M
briantschu,M,F
docpalindrome,M,M
gauravsabnis,M,M
LeslieJoy1,F,NB
4damHall,M,NB
leftside,M,F
babybirkinbag,NB,F
almost5feet,F,M
dan_foreman_EC,M,NB
jmugele,M,F
trobedsbitch,M,M
sapphicgiant,M,F
Kmlaffs,F,M
fleshloathe,NB,NB
Scuffsta,NB,M
MSHenriksen,M,M
VS_Holmes,NB,F
pattonsanders_q,M,NB
ellenblunsdon,F,NB
llimcole,F,M
BenSandfelder,M,M
BeckyAnnison,F,M
juliannebrands,F,F
abbsnocon,F,F
denn_daddy,M,NB
cluelessthembo,NB,NB
catrocketship,NB,F
JamieSuchomel,F,F
Me_Like_Shiny,NB,NB
JennyFloria,F,F
robiliciousnz,M,F
belchetron,M,F
zachhynes,M,F
Khoshtistic,M,M
zanejchen,M,M
kristanshawgo,F,F
Ravelyn,F,NB
lizfromsela,F,NB
amberlynprince,F,F
robertemilem,M,F
slayerscommathe,NB,F
Ashismcrtrash,M,F
gordonjdruby,M,M
amberlynprince,F,M
AddieDomske,F,M
RTWeirdZ,M,F
Primalglow,F,F
emilyfleuriot,F,F
Swell09,F,NB
pancake_bitch,NB,M
Audiophilomilo,M,M
joe_yer99,M,M
tstockstein,F,F
robainbinder,M,F
simplybellion,M,NB
luxxe_ember,NB,NB
carr_8,F,F
AimiHamraie,NB,M
TheVersian,NB,M
marcscheff,M,M
Booker4KY,M,M
LauraJDouds,NB,F
__livvv_,F,F
PeterJKuo,M,M
luxxe_ember,NB,M
RTWeirdZ,M,F
JamieSuchomel,F,F
msmegmassey,F,F
tstockstein,F,F
hiddeninabook,F,F
IndoorWTF,M,NB
CommsGeekJamie,F,F
blanketperson,M,F
joelcadams,M,M
CherylRainfield,F,F
_mpoe,NB,NB
BenSandfelder,M,NB
Booker4KY,M,M
jessicaeburke,F,M
paymentsexpert,M,F
arcticisleteach,F,F
EEADHorne,F,NB
RobKendt,M,F
maxmasure,NB,F
BlindMikah_Kez,NB,NB
helllpapii,NB,F
JennyFloria,F,F
pastriesandcake,F,F
prickly_boi,NB,M
TerriMLeBlanc,F,F
PaulKawika,M,F
CindyPAndrew1,F,NB
SweetVanLoan,F,M
AN_Goldstein,F,F
kat_cahill,F,F
kitsisto,NB,F
JohannesEvans,M,M
TheJasonGreene,M,M
nickytonline,M,M
dan_abramov,M,F
ellenblunsdon,F,M
kurtistowne,NB,F
smolqueerdragon,F,F
ForWyo,F,NB
dudleypj,M,M
Ironjotun,F,F
BenSandfelder,M,M
JuliusGoat,M,F
Kmlaffs,F,F
kevinlwei,NB,F
Shedrawsnigh,F,F
lemonicelou,NB,NB
KateLechler,F,F
smolqueerdragon,F,M
James_C_Mccloy,M,M
kat_cahill,F,M
JennaMagnuski,F,F
gayspacepilot,NB,F
Scuffsta,NB,NB
joy_hoffman,F,NB
brittnhasty,F,NB
e_p82,M,M
stevie__mx,NB,NB
ogflavorsstan,NB,NB
newsmansimon,M,F
FredTJoseph,M,NB
chic0junit,M,M
luxxe_ember,NB,NB
DanaeWriting,NB,F
wee_bairn,M,NB
eswtang,M,M
cluelessthembo,NB,F
dogbitebaby,NB,F
jana_aych_ess,NB,F
BroussardRhonda,F,F
They_Goblin,NB,F
Harrysgd,F,F
Me_Like_Shiny,NB,F
_Auntie_Aimee,F,F
emilyfleuriot,F,F
JCKronin,NB,F
DadBeard,M,F
JennyFloria,F,M
TisforTMI,F,NB
MacaqueyFreedom,NB,F
pattonsanders_q,M,NB
LELIAHSADE,NB,F
JuliusGoat,M,M
magdajoyce,F,M
tstockstein,F,F
enemyoftrust,NB,F
TheJasonGreene,M,M
KevinJFellows,M,M
clubnobbie,M,M
Stacyc55,F,F
makmakdaddy,F,M
maxmasure,NB,M
AimiHamraie,NB,M
SidewaysSiren,NB,F
DanitheEngineer,F,F
JonathanJR732,M,M
dadiva18,F,F
DeNovo_Fatima,F,M
RiderOfBrohon,NB,NB
isaacangelz,NB,NB
jmugele,M,F
becky__wong,F,M
jonnysun,M,F
StephenGKrueger,NB,F
AlexHarrowSFF,NB,NB
TheyThemTheEli,NB,NB
goldman,M,M
teachingmissk,F,NB
zephariouself,NB,M
WispsOfLove,NB,F
zachhynes,M,F
denn_daddy,M,NB
cyanbloomm,NB,F
kim_alloway,NB,NB
burst0fhope,NB,F
TwitchWasHere,NB,F
AKapilashrami,F,F
fmanjoo,NB,M
RuthEJBooth,NB,M
estebanuribe,M,M
alightningrod,NB,F
HeyDoryen,NB,NB
sjw_LauraKinney,NB,F
ShesHerOwnCEO,F,M
kmishmael,F,F
mr_shiny,M,M
TallTechy,F,NB
sekisetsu,NB,F
Booker4KY,M,M
grooveplex,M,NB
Nancy_RS_Parson,F,F
prmorphine,M,F
TheyThemTheEli,NB,M
MacaqueyFreedom,NB,F
jmugele,M,M
cwalterswrite,M,M
emilyfleuriot,F,F
almost5feet,F,F
AKapilashrami,F,F
cluelessthembo,NB,M
RachEttinger,F,M
JennyFloria,F,F
SpenserStarke,M,NB
SpenserStarke,M,F
PossumOtroy,NB,F
jamsternazzy,NB,NB
samleehartsock,F,M
prmorphine,M,M
jmugele,M,M
leftside,M,F
PeterJKuo,M,F
Ashismcrtrash,M,NB
oddin85,M,NB
StormyBuckets,NB,M
MillennialXpert,F,F
victoriagrows,NB,F
JuliusGoat,M,M
efboltz,F,M
vkatariya8,M,F
KimberlyGrommes,F,F
shelvethebooks,NB,M
debdef,F,M
joe_yer99,M,M
gpshead,M,F
rlorenxo,NB,M
StacyRex,NB,NB
khal_essie,F,M
suffolkvicar,M,M
namesescapeme,F,F
asg__creations,NB,F
Shedrawsnigh,F,F
PrestonMitchum,M,F
Rebecca__Rouse,F,NB
ClariceDAiello,F,M
peachmakkoli,NB,NB
LeslieJoy1,F,F
oddin85,M,NB
transzoeperry,F,F
wyrdgaest,M,F
dodgethistweet,M,M
legalizegoblins,NB,F
Khoshtistic,M,F
khal_essie,F,F
thzinc,M,F
TheJasonGreene,M,M
BucketheadCase,M,F
Calcifer_S,NB,M
brendajos,F,F
acbowen,M,M
SunshineChasing,F,F
lilamayhiggins,F,M
AmmehMorton,NB,F
They_Goblin,NB,F
TheVersian,NB,M
loeyjopez07,M,F
everestpipkin,NB,M
WispsOfLove,NB,M
TheAtomicMommy,F,M
MrJoeJenkins,M,M
JamilaMHammami,NB,M
everestpipkin,NB,NB
stephrwhite11,F,F
zephariouself,NB,M
TeamSallySez,F,M
zannalyons,F,M
JeremyCShipp,NB,F
shmuel,M,F
theredseraph,M,NB
joe_yer99,M,M
becky__wong,F,F
dan_abramov,M,NB
CABreretonKY,F,F
AlexHarrowSFF,NB,M
ArtioMurphy,NB,NB
roeldobbe,M,M
KimberlyGrommes,F,F
mcnees,M,F
suffolkvicar,M,M
AlyssaGins,F,M
milokp,NB,F
SidewaysSiren,NB,NB
becky__wong,F,F
CABreretonKY,F,F
RuthEJBooth,NB,F
kim_alloway,NB,F
DomDiFurio,M,F
meghancaves,F,M
startupjedi,M,F
zachhynes,M,F
nickytonline,M,M
HESherman,M,F
juniperinlatin,NB,NB
MillennialXpert,F,F
gemmacaf,F,M
MsMandyJ,F,M
BowtiesBooks,NB,F
suffolkvicar,M,F
stephrwhite11,F,M
sjforman99,M,M
cwalterswrite,M,M
roeldobbe,M,F
leftside,M,F
BucketheadCase,M,M
jonnysun,M,F
camikaos,F,M
Shedrawsnigh,F,NB
LanceBass,M,F
TheJasonGreene,M,M
JaimeLidgard,NB,F
BlakeleyJenn,F,M
justjerdi,F,F
brendajos,F,F
kevinlwei,NB,NB
leftside,M,F
BeverlyYanuaria,F,M
partlycara,NB,F
erinkburrell,F,F
EEADHorne,F,M
prickly_boi,NB,NB
CommsGeekJamie,F,F
EviKline,F,F
HistoryMuppet,M,F
Audiophilomilo,M,M
jonnysun,M,M
gauravsabnis,M,F
leahtova,NB,M
husslington,M,F
meaganintx,F,NB
tiffanymjewell,F,F
EliPresidente,M,M
burst0fhope,NB,F
Ashismcrtrash,M,F
